GeneID	Control1	Control2	Control3	Control4	KO1	KO2	KO3	KO4
Olfr317	0	0	0	0	0	0	0	0
H2afj	8621	4479	6299	4796	5223	7275	5362	5723
Ctf2	4	47	6	2	0	2	7	2
Rpl3	46122	29540	44935	37718	45624	56277	37819	50558
Dhps	637	491	545	450	409	763	453	1039
Tmem26	0	59	0	0	0	0	0	0
Olfr235	0	0	0	0	0	5	0	0
Olfr193	0	0	0	0	0	0	0	0
Alox5ap	0	59	0	0	0	0	0	0
Defa26	0	0	0	0	0	0	0	0
Psma3	11195	8799	9269	8639	8646	7482	7248	9642
Hist1h2aa	1	0	0	1	0	0	0	0
Olfr748	0	0	0	0	0	0	0	0
Rp2	330	371	356	392	417	319	392	429
Hist1h4a	5	7	0	0	1	3	0	12
Prmt7	983	464	362	966	640	1727	1105	1755
Olfr504	0	0	0	0	0	0	0	0
Olfr60	0	0	0	0	0	0	0	0
Olfr910	0	0	0	0	0	0	0	0
Gemin2	615	248	625	255	330	364	295	491
Tpt1	21617	16393	16044	15096	16472	14432	14011	17755
Atp8b4	0	0	0	0	0	7	0	0
Serpinb6a	4099	4725	3028	2623	2692	3001	2454	3425
Pop5	2514	1968	1683	1444	1254	1596	1498	1566
Zdhhc8	96	42	151	105	96	94	235	169
Olfr1371	0	0	0	0	0	0	0	0
Kif27	113	0	4	0	0	0	0	0
Klk1b22	0	0	0	0	0	0	0	0
Myh13	0	0	0	0	0	0	0	0
Slc35e3	167	49	217	179	163	328	308	627
Lrrc10	0	0	0	0	0	0	0	0
Cxcl17	0	21	37	0	0	0	0	0
Spink7	0	0	0	0	0	0	0	0
Gm5868	0	0	0	0	0	0	5	41
Olfr57	0	0	0	0	0	0	0	0
Zfp462	31	159	28	0	16	31	36	99
Defa17	0	0	0	0	0	0	0	0
Pcnx2	143	592	113	11	0	0	5	0
Arrb2	0	52	2	0	1	44	4	6
Pyroxd2	44	42	0	0	0	3	13	0
Casc4	412	1138	511	466	311	296	352	404
Cend1	0	0	0	0	0	0	0	0
Alyref2	8	33	5	15	12	15	10	11
Vmn1r228	0	0	0	0	0	0	0	0
Olfr980	0	0	0	0	0	0	0	0
Tdpoz4	0	0	0	0	0	0	0	0
Scrt2	0	0	0	0	0	0	2	0
Pwwp2b	480	271	685	455	373	301	640	925
Gtf2i	4091	2343	3351	2934	2913	5131	3783	4338
Armh1	0	51	0	0	0	0	0	0
Nrg2	12	2	16	7	1	0	5	2
Ap2a1	15	37	80	82	108	30	38	133
Sp7	5	0	0	0	0	1	55	0
Ppih	850	610	625	459	650	802	678	801
2610008E11Rik	172	268	86	139	65	117	204	426
Olfr1447	0	0	0	0	0	0	0	0
Mucl1	0	0	0	0	0	0	0	0
Zfp941	0	38	0	1	1	1	0	0
Acnat2	0	0	0	0	0	0	0	0
Tmc2	0	0	0	0	0	0	0	1
Olfr384	0	0	0	0	0	0	0	0
Zfp937	170	38	103	36	113	37	162	91
Caln1	0	0	0	0	0	0	0	0
Hnrnpc	6577	7295	7980	6286	6873	8564	6734	8442
Bckdha	1606	1120	1550	977	744	1234	912	1373
Rpl36a-ps1	1	2	0	0	0	0	1	0
Zfp128	0	60	1	110	0	0	0	16
Chst8	0	0	0	0	0	0	0	0
Olfr1369-ps1	0	0	0	0	0	0	0	0
Cyp2a12	0	0	0	0	0	0	0	0
Tas2r124	0	0	0	0	0	0	0	0
Zfp868	600	503	1177	437	429	696	611	615
Sntb1	64	197	57	123	32	50	144	214
Trim5	1	36	0	2	20	22	0	0
Sycp2	0	0	0	0	0	0	0	0
Rnf14	1084	1429	1401	661	830	1470	1048	883
Kng2	147	231	0	0	0	0	0	0
Dppa5a	49	8	27	18	15	8	6	0
Krtap19-3	0	0	0	0	0	0	0	0
Adgrg3	26	0	35	0	0	45	11	0
Wtap	799	786	649	609	715	907	496	907
Irak2	760	307	945	986	914	1528	1207	1389
Olfr171	0	0	0	0	0	0	0	0
Samd5	0	25	0	0	76	0	0	17
4930522H14Rik	0	0	0	0	0	0	0	0
Rpl10l	0	0	0	0	6	0	1	0
Olfr715	0	0	0	0	0	0	0	0
Nlrp9b	0	0	0	0	0	0	2	0
Xcr1	0	7	1	2	0	5	7	3
Zfp266	3720	2643	4475	4177	2812	2495	3678	4436
0610040J01Rik	688	226	1434	794	694	792	755	1068
Tor3a	82	268	327	120	220	53	278	136
Olfr726	0	0	0	0	0	0	0	0
Dcc	0	0	0	0	0	0	0	0
Tmem219	464	296	374	394	195	275	209	215
Tnfrsf19	598	206	798	532	356	379	740	739
H2-Q7	99	115	331	143	36	40	38	59
Olfr1418	0	0	0	0	0	0	0	0
Ces4a	0	0	0	0	0	0	0	0
Gm5591	0	0	0	0	0	0	0	0
Fam78b	43	3	0	1	1	2	22	22
Mfap2	0	4830	0	0	0	82	29	162
Fhit	848	385	373	542	595	385	411	589
Olfr881	0	0	0	0	0	0	0	0
H2-Eb1	40	167	1	0	24	1	0	2
Ifitm2	10886	29888	9443	6575	10147	11588	10770	12655
Layn	0	104	0	0	0	0	43	7
Eno3	74	160	97	81	63	174	45	187
Nr1h2	751	594	753	516	357	1300	647	1067
Cyp2c70	0	0	0	0	0	0	0	0
Ang4	2	0	7	2	0	0	0	27
Nkpd1	105	0	0	57	0	0	0	0
Zfp735	0	0	0	0	0	0	0	0
Rpl35a	10644	7886	7370	6499	7018	7795	7086	8426
Hist1h4i	90	49	0	76	21	64	87	59
Marf1	175	30	245	65	51	70	224	62
Olfr175-ps1	0	0	0	0	0	0	0	0
Atp8b2	36	671	277	78	165	217	176	43
4930595M18Rik	0	0	0	0	0	0	0	0
Plaat3	1447	1280	1474	997	1119	1302	1449	1455
Hist1h4c	5	3	14	30	27	26	2	4
Mrps9	737	1027	1134	538	966	969	993	1440
Slc9a6	130	233	221	265	250	238	68	269
Fthl17c	0	0	0	0	0	0	0	0
Olfr292	0	0	0	0	0	0	0	0
Krtap19-1	0	0	0	0	0	0	0	0
Vmn1r35	0	0	0	0	0	0	0	0
Fpr-rs3	0	0	0	0	0	0	0	0
Cd302	0	3513	50	15	4	17	31	89
Bloc1s4	163	317	306	126	105	54	125	307
1700019A02Rik	0	0	0	0	0	0	4	0
Plekhh1	139	183	93	186	540	341	366	390
Vmn1r47	0	0	0	0	0	0	0	0
Tmsb15a	0	0	0	0	0	0	0	0
Ipmk	1330	854	1702	894	700	937	901	720
Rxfp3	0	0	0	0	0	0	0	0
Prl7c1	0	0	0	0	0	0	0	0
Nsa2	4201	2407	3278	2888	3863	3280	2669	4123
Olfr1076	0	0	0	0	0	0	0	0
H3f3a	2803	2824	2256	1584	2024	3414	2661	3278
Ifnl3	0	0	0	0	0	0	0	0
Krtap2-4	0	0	0	0	0	0	0	0
Olfr503	0	0	0	0	0	0	0	0
Olfr325	0	0	0	0	0	0	0	0
Tsga10	11	118	64	55	18	40	46	65
Lrrtm1	0	0	0	0	0	0	0	0
Olfr464	0	0	0	0	0	0	0	0
Gmfg	48	38	14	32	0	0	18	0
Tssk5	0	0	0	0	0	0	1	0
Intu	1	49	52	14	10	36	148	69
B2m	9178	12543	10996	8166	858	1217	753	1232
Gstp1	22776	12380	11131	8713	6352	7340	3977	4195
Serpina6	0	0	0	0	0	0	0	0
Vmn1r52	0	0	0	0	0	0	0	0
Olfr1193	0	0	0	0	0	0	0	0
Ctnna3	2	0	0	1	0	0	2	0
Ube2s	1088	1919	863	1001	1497	1637	1239	1466
Zbtb40	44	0	62	115	10	41	81	38
Tcl1b2	0	0	0	0	0	0	0	0
Olfr1420	0	0	40	0	0	0	0	0
Kcnd2	19	15	42	0	0	0	18	0
Olfr566	0	0	0	0	0	0	0	0
Arr3	0	0	0	0	0	0	0	0
Arl1	3057	4721	2703	3136	2625	2945	2388	2847
Trim55	0	0	0	0	0	0	0	0
Olfr51	0	0	0	0	0	0	0	0
Acyp2	436	360	390	345	221	257	258	205
Csmd1	0	0	0	0	0	0	2	0
Tmem263	351	1533	190	363	276	232	352	447
Rpl26	35762	24679	24646	21372	24197	29950	23430	28568
Trmt61a	25	31	52	12	31	63	68	99
Slc4a4	95	144	541	133	106	123	162	448
Dmkn	1406	6747	1977	391	148	356	267	69
Etd	0	0	0	0	0	0	0	0
Irx1	0	0	0	0	0	0	0	0
Olfr530	0	0	0	0	0	0	0	0
Hist1h4h	143	47	145	77	48	66	74	92
Tdrd5	0	0	0	0	0	0	0	2
Galnt13	0	0	0	0	0	0	0	0
Copz1	5471	5699	7308	5575	6759	7640	5801	7339
Olfr507	0	0	0	0	0	0	0	0
Mkx	23	12	0	0	2	1	0	0
Vmn1r222	0	0	0	0	0	0	0	0
Rrs1	198	174	166	206	159	279	209	434
Clasrp	97	645	276	102	158	373	369	316
Rrp1	2450	2708	2687	2879	3326	4432	2632	3692
Olfr920	0	24	25	0	1	16	8	0
Haghl	463	748	422	383	554	605	606	713
Cdh3	120	1176	26	12	96	179	123	260
H2al1o	0	0	0	0	0	0	0	0
Mcpt4	0	0	0	0	0	0	0	0
Zfp143	35	361	279	526	783	488	218	128
Lsamp	1	350	0	0	12	1	0	0
Plac1	0	324	0	0	0	0	26	0
Myl4	0	0	0	30	10	14	26	5
Gapdhs	0	0	1	0	0	2	14	0
Retnla	0	6	0	0	0	0	0	0
Sap18b	228	147	167	162	208	126	175	198
Mcrip1	2245	4389	2884	1500	3279	4083	2625	4082
Dnajc30	91	148	188	74	62	145	165	191
Prcp	22	682	209	14	112	85	102	96
Cyp4f39	0	184	73	17	117	125	62	107
Ppm1b	374	480	213	294	175	515	493	529
Blnk	104	1	49	0	33	53	54	200
Prpf40a	1176	1428	1438	911	873	1594	1764	1439
Maml3	238	242	337	332	145	257	449	501
Spink12	0	0	0	0	0	0	0	0
Olfr160	0	0	0	0	0	0	0	0
Slc38a11	1	0	2	7	1	1	14	5
Fnip2	286	92	112	102	110	56	181	197
Tmprss11c	0	0	0	0	0	0	0	0
Sfmbt2	0	91	0	0	2	31	0	0
Olfr1289	0	0	0	0	0	0	0	0
Stk19	298	662	104	311	338	487	378	624
Vmn1r8	0	0	0	0	0	0	0	0
Olfr47	0	0	0	0	0	0	0	0
H2-K1	6681	6853	6797	6075	1089	1886	1671	2233
Exoc5	972	747	619	764	1012	644	755	812
Tmprss11d	0	0	0	2	0	0	1	1
Mmgt1	260	383	511	230	315	389	196	256
Exosc5	1692	1040	1784	1260	1115	2240	1061	1700
Taok3	194	232	332	426	657	461	493	625
Cyp3a59	0	0	0	1	0	0	0	0
Olfr1261	0	0	0	0	0	0	0	0
Vmn1r210	0	0	0	0	0	0	0	0
Agbl4	0	0	0	0	9	0	0	0
Slc38a10	419	1242	571	320	440	261	560	666
Rag1	0	0	0	0	0	0	0	0
Ddhd2	525	579	326	350	246	290	349	494
Naca	14234	9692	11884	9966	11256	12088	10233	12492
Dnaic1	184	197	0	18	59	107	51	41
Olfr116	0	0	0	0	0	0	0	0
Olfr1168	0	0	0	0	0	0	0	0
Cxcl12	0	1862	0	175	0	4	26	100
Nuggc	0	0	0	0	0	0	6	0
Phf5a	1888	2772	1655	1251	1444	1681	1534	2062
Olfr168	0	0	0	0	0	0	0	0
Olfr771	0	0	0	0	0	0	0	0
Zfp873	166	141	417	532	90	36	192	186
Fiz1	32	152	114	47	569	139	425	766
Vmn1r219	0	0	0	0	0	0	0	0
Olfr1490	0	0	0	0	0	0	0	0
Csn1s2b	0	0	0	0	0	0	0	0
Mageb5	0	0	0	0	0	0	0	0
Acvr2b	174	75	43	29	251	65	216	117
Krt79	110	0	326	195	264	95	288	326
Zcchc14	187	625	415	188	207	133	457	396
Nol4l	209	53	341	308	347	496	444	739
Cracr2a	0	0	0	0	0	0	0	0
Hipk2	107	12	119	22	205	164	123	392
Tmem151a	45	1340	138	1	70	0	0	33
Stx17	923	306	1269	1265	924	841	824	1148
Olfr871	0	0	0	0	0	0	0	0
Nol10	181	134	77	32	75	166	89	219
Smim20	2324	2280	2386	1938	1631	1906	1472	2688
Obscn	0	0	0	2	12	1	14	0
Gm12569	0	0	0	0	0	0	0	0
Mrps36	1014	1233	755	677	502	681	666	858
Rps7	21817	14917	15535	12607	18698	20303	16509	21750
Snrpa	1760	3100	1885	1577	2471	2301	1953	2674
Hist1h4d	121	96	58	51	43	28	84	55
Olfr525	0	0	0	0	0	0	0	0
Sox21	2	0	0	0	0	39	0	14
Cox5b	7792	6651	5481	4299	5557	7115	6267	7097
Olfr153	0	0	0	0	0	0	0	0
Zic2	0	0	0	0	0	0	0	0
4921509C19Rik	0	0	0	0	0	0	0	0
Krt5	14897	7355	15589	11596	8214	14060	10949	12147
Tmem236	0	0	0	0	0	0	1	0
Cep128	35	447	17	0	27	14	115	0
C1qtnf7	1	1110	170	0	0	0	0	60
Sec22c	0	53	137	0	27	80	44	15
Orm2	0	0	0	0	0	0	0	0
Zfp229	34	28	3	19	83	64	15	33
Olfr301	0	0	0	0	0	0	0	0
Wdr61	15971	6118	13748	10608	14263	15032	15228	17275
Olfr373	0	0	0	0	0	0	0	0
Dpp6	0	0	0	2	0	0	0	10
Adgrg5	0	0	0	0	0	0	0	0
Ksr2	13	0	121	1	140	101	70	153
Lyg2	0	0	0	0	0	0	0	0
Dot1l	905	501	706	552	1044	1117	1164	1359
Pclo	116	5	23	10	46	0	18	36
Vmn1r78	0	0	0	0	0	0	0	0
Akap6	0	0	0	0	0	119	46	179
Mdc1	98	120	143	34	12	72	48	169
U2af1	2445	2202	1763	1448	1810	2584	1943	2383
Olfr845	0	0	0	0	0	0	0	0
Hist1h2ab	7	0	0	0	0	0	0	6
Olfr12	0	0	0	0	0	0	0	0
Olfr68	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	1	0
Olfr1457	0	0	0	0	0	0	0	0
Med9	549	374	372	288	350	547	408	509
Vmn1r46	0	0	0	0	0	0	0	0
Spry3	0	0	0	0	0	0	0	0
Cd2ap	3467	2202	2659	2564	2539	2556	2201	2844
Gdpd1	780	432	856	1379	1016	775	1184	1064
Dlgap4	545	1046	532	519	519	624	613	637
Fbxw20	0	0	0	0	0	0	0	11
Tmem91	10	62	47	24	44	0	71	39
Gm4871	0	0	0	0	0	0	0	0
Ppp1r1b	0	0	0	0	0	0	0	0
Tnnt3	0	1	0	1	0	5	0	30
Ext1	1252	754	731	443	534	614	442	622
Cyp2d22	69	987	385	0	0	0	0	81
Slc22a12	0	0	0	0	0	0	0	0
Kalrn	7	141	0	0	1	0	18	10
Bod1l	952	573	1165	643	667	1029	800	698
Akr1b10	1548	1201	1088	1142	715	788	1006	1160
Armt1	284	221	199	403	266	372	337	336
Tac1	0	24	0	0	0	0	0	0
Klra6	0	0	0	0	0	0	0	0
Mospd2	845	793	790	439	1278	762	1076	831
Cfd	0	0	0	0	0	0	0	0
Rps17	27367	19601	18307	16460	17657	21923	16726	21304
Olfr1204	0	0	0	0	0	0	0	0
Armc4	0	0	0	0	0	0	0	0
Ttr	148	0	278	153	0	13	115	105
Tbpl2	0	0	0	0	0	0	0	0
Rufy4	3	0	65	54	1	4	43	68
Myl1	0	0	0	0	0	0	0	0
Ces2c	0	0	17	0	0	0	0	0
Vmn1r214	0	0	0	0	0	0	0	0
Suclg2	3203	760	2760	2639	2344	2351	1716	3201
Defa35	0	0	0	0	0	0	0	0
Defb39	0	0	0	0	0	0	0	0
Patj	768	266	1550	714	805	871	1184	1212
Olfr1148	0	0	0	0	0	0	0	0
BC048679	0	0	0	18	0	0	0	0
Sphk1	282	745	828	497	589	709	883	1436
Ccdc62	62	258	335	292	103	297	180	365
Ssbp3	415	790	646	435	510	598	432	1053
Zscan20	0	22	6	55	32	51	0	45
Rbak	122	168	16	112	77	437	252	617
Slc25a3	14458	11716	13589	12696	13143	13188	12744	16382
Ugt2b38	0	0	0	0	0	0	0	0
Myt1l	0	0	0	0	0	0	4	1
Odf1	0	0	0	0	0	0	2	0
Dsg1b	0	0	0	0	7	0	0	15
Csn1s2a	0	0	0	0	0	0	0	0
Serpina10	5	0	0	0	0	0	27	0
Ppp4r1	554	412	1071	639	710	761	759	909
Olfr1377	0	0	0	0	0	0	0	0
Gm14851	0	0	0	0	0	0	0	0
Ces1e	0	0	0	0	0	0	0	0
Olfr815	0	0	0	0	0	0	0	0
Olfr99	0	0	0	0	0	0	0	0
Cldn24	0	0	0	0	0	0	0	0
Tas2r104	0	0	0	0	0	0	0	0
Rcc1l	194	23	146	235	105	115	179	638
Flot2	92	781	174	15	127	688	345	557
Rps12	15445	12128	12566	8887	11557	15559	10979	13834
Olfr392	0	0	0	0	0	0	0	0
Hist1h2af	0	0	0	0	0	1	0	0
Rpl34	12945	10916	9133	8092	8340	11415	9023	10282
Hsh2d	0	0	4	0	7	0	0	28
Zfp13	0	65	0	0	5	6	76	154
Gmfb	1456	1827	2124	1656	2194	1236	1193	1533
Abca14	0	0	0	0	0	0	0	0
Irgc1	0	0	0	0	0	0	0	0
Pgghg	112	560	359	129	181	133	146	153
Olfr285	0	0	0	2	0	0	0	0
Zfp27	26	4	35	0	21	40	0	21
Olfr294	0	0	0	0	0	0	0	0
Lmtk3	0	0	0	1	0	0	0	0
Iah1	1016	1742	794	531	706	454	496	614
Obp2a	0	0	0	0	0	0	0	0
Slc2a7	0	0	0	0	0	0	0	0
Pgk1	1577	4164	2115	1607	1773	2051	2246	2175
Ccn6	0	164	0	0	0	0	0	0
Lmnb2	3	161	8	64	33	150	147	9
Trim54	0	0	0	0	0	0	0	0
Qk	696	542	857	1015	716	793	796	1051
Cd200r4	30	19	22	33	15	45	41	41
Btbd3	259	327	432	478	199	315	312	629
Zfp119b	70	126	276	80	29	128	220	109
Olfr924	0	0	0	0	0	0	0	0
Olfr183	0	0	0	0	0	0	0	0
Scfd2	273	168	284	60	53	156	220	196
Rai1	428	277	427	307	549	813	566	905
Zfp954	315	422	756	296	278	841	413	578
Olfr149	0	0	0	0	0	0	0	0
Defb45	19	0	0	22	21	11	59	3
Cttnbp2nl	423	316	343	132	331	436	327	569
Olfr20	0	0	0	0	0	0	0	0
Arhgap33os	0	0	0	0	0	0	0	0
Olfr569	0	0	0	0	0	0	0	0
Ear6	0	0	0	0	0	0	0	0
Unc13c	0	75	0	0	0	0	0	0
Tex33	0	0	0	0	0	0	0	0
Ifnlr1	175	108	243	94	318	535	179	476
Mageb1	0	0	0	0	0	0	0	0
Vmn1r232	0	0	0	0	0	0	0	0
Ppef1	0	0	0	0	0	0	0	0
Cnih4	2812	3168	2231	1969	1618	1209	1236	1624
Fmr1nb	0	0	0	0	0	0	0	0
Tgif2	44	27	33	12	45	65	60	45
Ces3b	0	0	0	0	0	0	0	0
Hs6st2	1	181	0	0	0	0	1	0
Olfr395	0	0	0	0	0	0	0	0
Lancl2	154	191	209	163	145	240	221	48
2700097O09Rik	746	544	785	679	658	315	611	1036
Olfr1465	0	0	0	0	0	0	0	0
Vmn2r7	0	0	0	0	0	0	0	0
Prl3d3	0	0	0	0	0	0	0	0
Btbd9	257	409	248	263	147	242	427	677
Gspt1	798	916	793	941	455	877	847	750
Olfr1373	0	0	0	0	0	0	0	0
Erbb4	0	0	20	9	0	0	0	0
Tnfaip8	8407	3898	7151	6486	4393	4154	3171	4858
Rapgef2	148	499	381	233	209	178	356	291
Gak	418	417	1204	1223	324	885	776	814
Olfr170	0	0	0	0	0	0	0	0
Cks2	1720	1591	1007	966	1952	2038	1531	1915
Lhfpl5	0	0	0	0	0	0	0	0
Opcml	0	100	2	1	0	1	0	0
Morf4l1	5136	5323	5247	4626	4652	5289	4520	4831
Olfr1129	0	0	0	0	0	0	0	0
Fbxw24	0	0	0	0	0	0	0	0
Gm11562	9	0	0	0	0	11	10	15
Trank1	0	0	0	0	0	0	0	0
Nectin2	2963	3240	2381	2566	2311	3727	3055	2530
Rpp25	72	2292	70	84	38	51	56	108
Glrp1	0	0	0	0	0	0	6	0
Erbb2	1343	192	591	660	588	1031	583	927
Olfr1505	0	0	0	0	0	0	0	0
T	0	0	0	0	0	0	0	0
Rpl17	22773	16168	16155	15252	18879	20261	16151	22452
Cytl1	0	0	0	0	0	0	0	0
Serpinb9e	0	0	0	0	0	0	0	0
Serpinb2	0	300	0	8011	1	0	0	46
Itgb1bp1	1460	1791	847	783	942	525	747	895
Usp17lb	0	0	0	0	0	0	0	0
Otof	0	0	0	1	0	0	1	0
Tmem65	353	98	90	77	124	229	124	251
Borcs7	701	733	753	674	867	1220	1068	1297
Tubb3	0	0	0	0	0	0	0	0
Ftl1-ps1	8042	6160	6720	6528	4522	3738	2817	4903
Dgkk	0	0	0	0	0	0	0	0
Zfp706	8330	9096	8043	7900	6790	9059	6303	8116
Krtap6-5	0	0	0	0	0	0	0	0
Hsd3b3	11	15	12	11	0	6	0	0
Arf2	1005	1868	1164	1007	1556	2007	1263	1357
Olfr304	0	0	0	0	0	0	0	0
Cyp26c1	0	0	0	0	0	0	0	0
Krtap6-2	0	0	0	0	0	0	0	0
Olfr516	0	0	0	0	0	0	0	0
Adam1b	0	0	0	0	0	0	0	0
Ap3b2	0	0	0	0	0	0	0	0
Rpl9-ps6	321	124	152	133	150	99	127	139
Cyp4f37	0	0	4	0	0	6	0	0
Ctrc	0	0	0	0	1	0	0	0
Acat3	16	0	31	13	1	6	7	0
Vmn1r171	0	0	0	0	0	0	0	0
Ifit3b	0	0	49	0	0	0	1	0
Olfr1411	0	0	0	0	0	0	0	0
Nsl1	6	8	6	7	7	17	85	8
4930512M02Rik	1	10	0	2	4	1	2	15
Fabp4	91	82	108	89	103	128	85	142
Zfp534	1	1	0	0	0	0	0	0
Zfp398	49	251	0	97	49	94	39	83
Ncr1	0	0	0	0	0	0	0	0
Mppe1	308	84	289	268	173	235	253	213
Olfr1408	0	0	0	0	0	0	0	0
Tas2r109	0	0	0	0	0	0	0	0
Syt9	0	0	0	0	0	0	6	0
Tlr12	0	0	0	0	0	0	0	0
V1ra8	0	0	0	0	0	0	0	0
Prl2c1	0	1	0	0	0	0	0	1
Olfr709-ps1	0	0	0	0	0	0	0	0
Scgb1b2	0	0	0	0	0	0	0	0
Cys1	30	69	4	1	0	28	0	0
Tex28	0	0	0	0	0	0	0	0
Timm17a	3589	3034	3246	2533	2409	2478	2295	2587
Cnr2	1	4	1	3	0	1	1	3
Armc9	88	168	168	319	294	154	252	103
Tubb4a	4	312	0	0	13	2	0	14
Gm49339	0	0	0	0	0	0	0	0
Vmn1r178	0	0	0	0	0	0	0	0
Srpk2	1255	630	1392	503	987	851	838	1228
Olfr195	0	0	0	0	0	0	0	0
Kcnj15	2	1	0	4	1	1	5	11
2310039H08Rik	831	798	542	646	914	1083	961	1139
Olfr911-ps1	0	0	0	0	0	0	0	0
Cyp2c67	0	0	0	0	0	0	0	0
Mysm1	505	698	522	911	834	590	740	597
Olfr114	0	0	0	0	0	0	0	0
Btnl1	0	0	0	0	0	0	0	0
Ganc	398	167	356	215	107	212	198	132
Rpl7a	14215	11925	11060	10339	11441	14933	11052	14035
Olfr44	0	0	0	0	0	0	0	0
H2al2a	0	0	0	0	0	0	0	0
Ncs1	0	27	0	0	0	0	0	54
Atp5g2	4818	4264	3382	2866	4165	4315	3739	4311
Cks1brt	0	0	0	0	0	0	0	0
Cebpzos	338	235	263	232	233	301	246	356
Cav3	0	0	0	0	0	0	0	0
Tpbpb	0	0	0	0	0	0	0	0
Olfr531	0	0	0	0	0	0	0	0
Sim2	0	0	0	0	0	0	0	0
Hist1h2bk	0	6	0	0	18	9	0	0
Ppox	1014	812	1840	1249	581	858	1747	1316
Lypd4	0	0	0	0	0	13	0	0
Prl3d2	0	0	0	0	0	0	0	0
Zfp677	12	366	308	171	51	174	67	158
Prss1	0	0	0	0	0	0	0	0
AI413582	972	858	588	378	769	608	475	680
Olfr1206	0	0	0	0	0	0	0	0
Shisal1	0	314	0	0	0	0	7	1
Zfp512	525	309	621	459	243	563	467	593
Ei24	539	769	1026	529	1045	888	915	1030
Tex101	0	0	0	0	0	0	0	0
Chia1	0	0	0	0	0	0	0	0
Olfr527	0	0	0	0	0	0	0	0
Csprs	0	2	0	0	0	0	0	0
Kcnc3	0	0	0	0	0	0	0	4
Gm382	0	0	0	0	0	0	0	0
Olfr1158	0	0	0	0	0	0	0	0
Zfp599	0	0	2	38	0	0	3	7
Hikeshi	992	1519	1229	894	854	796	715	804
Ssxa1	0	0	0	0	0	0	0	0
Vmn1r51	0	0	5	0	3	0	0	3
4833420G17Rik	725	748	1189	728	676	826	1160	1457
Actg1	31515	38480	31975	24080	31076	37227	25250	33940
Ces2f	255	0	87	156	0	18	7	151
Sval3	0	0	0	0	0	0	0	0
Olfr1458	0	0	0	0	0	0	0	0
Tcp11	0	68	0	1	13	0	14	13
Zfp28	0	189	76	3	76	131	8	57
Phactr2	2074	1544	2841	2942	2997	2819	2735	3288
Impdh2	1928	2642	2215	1643	1889	2535	1961	1834
Olfr830	0	0	0	0	0	0	0	0
Olfr1355	0	0	0	0	0	0	0	0
Olfr298	0	0	0	0	0	0	0	0
Olfr1450	0	0	0	0	0	0	0	0
Klhl24	1071	493	1268	922	1232	1318	1920	1617
Vmn1r32	0	0	0	0	0	0	0	0
Hdac10	402	379	189	330	16	193	493	270
Acadm	3014	2504	2364	2128	2220	2520	2605	1830
Olfr777	0	0	0	0	0	0	0	0
Cfl2	901	1598	986	710	733	451	612	591
Zfp938	346	209	617	329	172	165	282	302
Mtap	808	1660	978	785	856	779	673	1117
Stat4	0	0	0	0	0	3	2	0
9130023H24Rik	629	121	422	301	204	274	281	333
Atp11c	190	166	409	623	114	263	90	154
Tas2r110	0	0	0	0	0	0	0	0
Kdr	197	411	125	0	0	0	0	30
Ccdc177	0	0	0	0	0	0	0	0
Ufc1	2721	2544	1525	2160	2112	2140	1893	2251
Cped1	0	697	0	0	23	0	0	0
Mrpl42	6519	5630	5439	4528	5518	4709	5138	6833
Olfr715b	0	0	0	0	0	0	0	0
Nrg1	192	49	185	53	0	18	1	0
Ica1	1715	854	1940	1502	2299	1798	1617	2283
Rpl35	10063	8172	6468	5195	6166	9838	7427	9282
Msln	733	3505	1837	0	333	1915	1007	1395
Ccni	957	1072	1317	913	856	734	1122	1395
Manbal	671	504	251	320	348	492	285	402
Olfr194	0	0	0	0	0	0	0	0
Hist1h2ak	0	13	0	0	3	9	1	5
Zfp780b	0	8	24	0	47	9	29	24
Ing2	270	364	239	330	480	422	492	341
Lrrc40	442	429	733	378	729	424	559	498
Prr23a2	0	0	0	3	0	0	0	0
Sox7	91	0	249	91	0	12	1	4
Ctnna2	0	0	0	0	0	0	0	0
Mapk3	1011	1638	918	1241	576	1052	491	936
Kif1b	811	1194	1288	856	925	1143	735	1085
Klk1b8	0	0	0	0	0	0	0	0
Olfr1510	0	0	0	0	0	0	0	0
Zfp26	339	90	306	231	98	364	393	442
Olfr410	0	0	0	0	0	0	0	0
Olfr480	0	0	0	0	0	0	0	0
Aldoart2	0	0	0	0	0	0	0	0
Calml3	0	0	0	0	0	0	28	0
Klk1b1	0	0	0	0	0	0	0	0
Olfr177	0	0	0	0	0	0	0	0
Kcnma1	0	5	0	8	4	0	1	0
Bbs5	334	102	306	362	155	276	275	311
Clip2	17	7	2	15	4	3	29	8
Csn2	0	0	0	0	0	0	0	0
Numbl	9	74	39	6	21	56	36	8
Speer2	0	0	0	0	0	0	0	0
Hspb11	332	305	301	168	298	360	275	343
Olfr811	0	0	0	0	0	0	0	0
Olfr955	0	0	0	0	0	0	0	0
Klk1b27	0	0	0	0	0	0	0	0
Pstk	527	240	148	302	951	615	515	630
Olfr107	0	0	0	0	0	0	0	0
Cd300lb	0	0	0	0	0	0	3	0
Nol7	1622	1485	1508	1288	1371	1120	1043	1514
Defa34	0	0	0	0	0	0	0	0
Olfr1351	0	0	0	0	0	0	0	0
Olfr930	0	0	0	0	0	0	0	0
